Times,Cars_out,LGV_out,OGV1_out,OGV2_out,PSV_out,M/B_out,Cyc road_out,Cyc pavement_out,Ped_out,Cars_in,LGV_in,OGV1_in,OGV2_in,PSV_in,M/B_in,Cyc road_in,Cyc pavement_in,Ped_in
2019-07-18T07:00,42,14,4,2,3,1,5,5,2,120,37,6,4,7,4,11,5,2
2019-07-18T07:30,64,15,6,1,4,1,10,2,9,135,41,7,2,3,3,30,6,12
2019-07-18T07:45,105,9,5,0,2,0,11,1,5,140,35,3,1,10,8,33,9,13
2019-07-18T08:00,99,11,3,0,3,2,16,1,9,107,17,7,1,9,2,46,11,28
2019-07-18T08:15,135,11,5,0,6,1,23,10,6,164,25,10,0,5,7,44,27,21
2019-07-18T08:30,121,14,4,2,2,1,37,8,11,139,19,4,5,13,5,47,69,34
2019-07-18T08:45,118,10,6,2,4,2,48,8,4,156,24,8,1,2,3,53,36,19
2019-07-18T09:00,130,19,5,2,6,2,35,9,7,146,19,8,0,6,1,36,7,20
2019-07-18T09:15,118,19,4,1,2,1,37,3,10,159,23,7,1,3,3,38,4,22
2019-07-18T09:30,127,19,2,0,6,3,18,4,7,148,22,7,1,6,7,31,2,16
2019-07-18T09:45,121,21,7,3,2,0,26,5,9,112,24,3,2,4,2,28,6,19
2019-07-18T10:00,133,26,5,1,6,2,8,3,9,106,23,2,1,5,2,11,2,13
2019-07-18T10:15,119,20,5,1,6,0,8,0,8,101,26,4,4,3,2,13,8,8
2019-07-18T10:30,114,19,8,2,4,1,8,2,12,137,27,1,0,4,2,14,1,11
2019-07-18T10:45,99,23,3,4,2,1,6,2,18,142,18,10,2,2,0,14,6,14
2019-07-18T11:00,97,26,3,2,3,0,3,1,11,113,19,3,2,6,1,12,3,20
2019-07-18T11:15,105,26,9,3,4,2,3,2,15,127,25,1,2,5,1,12,0,14
2019-07-18T11:30,102,31,11,1,6,1,2,2,13,139,24,5,1,2,3,7,2,13
2019-07-18T11:45,95,23,7,1,3,3,6,6,12,132,13,4,0,3,2,14,2,7
2019-07-18T12:00,130,30,5,1,4,3,4,6,7,142,21,6,2,7,1,7,7,15
2019-07-18T12:15,110,23,7,1,2,0,11,3,16,133,20,5,2,3,4,7,7,19
2019-07-18T12:30,130,20,7,2,5,2,3,3,10,126,17,8,0,2,4,10,5,13
2019-07-18T12:45,135,18,6,1,3,7,7,2,18,126,24,4,3,2,3,17,2,17
2019-07-18T13:00,126,25,4,2,2,1,9,6,7,125,22,4,1,6,2,7,5,23
2019-07-18T13:15,115,21,6,2,2,2,7,4,20,112,16,3,0,5,4,13,2,21
2019-07-18T13:30,111,16,9,1,5,1,8,3,16,103,16,3,2,3,2,6,4,11
2019-07-18T13:45,122,20,9,1,2,4,11,3,13,102,19,5,5,1,4,12,4,15
2019-07-18T14:00,145,24,2,2,3,5,7,4,17,104,16,3,2,5,0,5,8,14
2019-07-18T14:15,128,11,5,1,6,3,8,9,15,111,23,4,2,4,5,5,6,11
2019-07-18T14:30,137,27,6,1,6,5,8,9,14,138,17,5,3,7,3,15,3,16
2019-07-18T14:45,123,24,5,2,2,9,9,4,15,109,9,3,3,3,4,14,2,28
2019-07-18T15:00,121,29,4,2,3,1,16,11,20,136,6,4,1,6,6,18,9,22
2019-07-18T15:15,130,14,3,1,2,4,13,46,22,102,19,2,1,4,3,12,14,10
2019-07-18T15:30,144,35,3,1,4,3,24,38,32,128,18,6,1,2,2,11,11,6
2019-07-18T15:45,125,31,2,1,3,4,11,12,12,132,9,3,0,1,3,12,16,9
2019-07-18T16:00,124,31,4,3,4,4,18,15,24,117,12,1,0,6,2,6,10,10
2019-07-18T16:15,139,20,1,2,5,8,19,17,27,139,10,0,0,2,2,10,7,25
2019-07-18T16:30,143,23,2,2,5,2,19,13,17,137,8,0,3,3,3,15,5,13
2019-07-18T16:45,149,30,0,1,3,0,18,7,18,132,11,2,2,4,3,20,13,21
2019-07-18T17:00,175,13,4,0,5,4,32,18,19,135,14,1,0,2,6,43,8,17
2019-07-18T17:15,133,10,1,2,5,3,35,17,16,171,10,1,0,1,2,48,8,21
2019-07-18T17:30,157,14,1,0,5,7,35,14,17,169,11,0,0,6,5,37,7,22
2019-07-18T17:45,161,12,0,2,5,9,24,17,17,188,10,0,0,5,4,40,8,10
2019-07-18T18:00,166,6,0,1,4,8,33,11,20,174,3,1,1,4,2,49,6,19
2019-07-18T18:15,128,4,0,2,3,5,34,18,28,156,7,1,1,1,7,34,10,14
2019-07-18T18:30,163,11,1,0,8,4,34,11,33,162,8,0,0,2,4,22,10,18
2019-07-18T18:45,148,4,0,0,8,10,35,6,33,154,3,0,1,1,6,34,4,19
